Expert,Simple,cancer,source,page
"During this test, the doctor might notice a small bump in the stomach wall that turns out to be a carcinoid tumor. ","During this test, the doctor might notice a small bump in the stomach wall that turns out to be a carcinoid tumor.  Another test doctors use is a colonoscopy.  In this test, a bendable tube with a light is used to look at the large bowel.  ",GI,ACS,Screening
"Sometimes during colorectal cancer screening, a routine sigmoidoscopy, or colonoscopy (looking at the large bowel through a flexible lighted tube) will incidentally find a small carcinoid tumor. ","Sometimes during colorectal cancer screening tests (like an endoscopy or colonoscopy), a small carcinoid tumor can be found by accident. ",GI,ACS,Screening
"Sometimes when the appendix is removed (to treat appendicitis or as part of a larger operation), a small carcinoid tumor is found at the tip. ","Sometimes when the appendix is taken out for another reason, a small carcinoid tumor is found at the tip. ",GI,ACS,Screening
This happens in about 1 of every 300 people who have appendix surgery. ,This happens to about 1 of every 300 people who have appendix surgery so not very much. ,GI,ACS,Screening
Most of these carcinoids were too small to have caused any symptoms.,Most of these carcinoids were too small to cause any problems.,GI,ACS,Screening
Gastrointestinal carcinoid tumors are a type of cancer that forms in the lining of the gastrointestinal (GI) tract. ,Gastrointestinal carcinoid tumors are a type of cancer that forms in the lining of the gastrointestinal (GI) tract. ,GI,ACS,Screening
Cancer starts when cells begin to grow out of control. ,Cancer starts when cells begin to grow out of control. ,GI,ACS,Screening
"To learn more about what cancer is and how it can grow and spread, see What Is Cancer? To understand gastrointestinal carcinoid tumors, it helps to know about the gastrointestinal system, as well as the neuroendocrine system.","To learn more about what cancer is and how it can grow and spread, see What Is Cancer? To understand gastrointestinal carcinoid tumors, it helps to know about the gastrointestinal system, as well as the neuroendocrine system.",GI,ACS,Screening
The gastrointestinal system,The gastrointestinal system,GI,ACS,Screening
"The gastrointestinal (GI) system, also known as the digestive system, processes food for energy and rids the body of solid waste. ","The gastrointestinal (GI) system, also called the digestive system, breaks down food for energy and helps the body get rid of waste.   ",GI,ACS,Screening
"After food is chewed and swallowed, it enters the esophagus. ","After food is chewed and swallowed, it enters into a tube called the esophagus. ",GI,ACS,Screening
This tube carries food through the neck and chest to the stomach. ,This tube takes food down through your neck and chest to your stomach. ,GI,ACS,Screening
The esophagus joins the stomach just beneath the diaphragm (the breathing muscle under the lungs). ,The esophagus joins the stomach just beneath the diaphragm (the breathing muscle under the lungs). ,GI,ACS,Screening
The stomach is a sac that holds food and begins the digestive process by secreting gastric juice. ,The stomach is a sac that holds food and begins the digestive process by releasing (secreting) gastric juice. ,GI,ACS,Screening
"The food and gastric juices are mixed into a thick fluid, which then empties into the small intestine. ","The food and gastric juices are mixed into a thick fluid, which then empties into the small intestine. ",GI,ACS,Screening
The small intestine keeps breaking down food and absorbs most of the nutrients. ,The small intestine keeps breaking down food and absorbs most of the nutrients. ,GI,ACS,Screening
"It is the longest section of the gastrointestinal (GI) tract, measuring more than 20 feet (6 meters). ","It is the longest section of the gastrointestinal (GI) tract, measuring more than 20 feet (6 meters). ",GI,ACS,Screening
The small intestine then joins the colon. ,The small intestine then connects to the colon. ,GI,ACS,Screening
"This is a wider, muscular tube about 5 feet (1.5 meters) long. ","This is a wider, muscular tube about 5 feet (1.5 meters) long. ",GI,ACS,Screening
The appendix is near the junction of small intestine and colon. ,The appendix is near the connection of small intestine and colon. ,GI,ACS,Screening
It is often hard to find liver cancer early because signs and symptoms often do not appear until it is in its later stages. ,It is often hard to find liver cancer early because signs and symptoms often do not appear until it is in its later stages. ,Liver,ACS,Screening
Small liver tumors are hard to detect on a physical exam because most of the liver is covered by the right rib cage. ,Small liver tumors are hard to detect on a physical exam because most of the liver is covered by the right rib cage. ,Liver,ACS,Screening
"By the time a tumor can be felt, it might already be quite large. ","By the time a tumor can be felt, it might already be quite large. ",Liver,ACS,Screening
"At this time, there are no widely recommended screening tests for liver cancer in people who are at average risk. ","At this time, there are no widely recommended screening tests for liver cancer in people who are at average risk. ",Liver,ACS,Screening
(Screening means testing for cancer in people who have no symptoms or history of cancer.) ,(Screening means testing for cancer in people who have no symptoms or history of cancer.) ,Liver,ACS,Screening
But testing might be recommended for some people at higher risk.,But testing might be recommended for some people at higher risk.,Liver,ACS,Screening
"Worldwide, liver cancer is the sixth most common cancer and the third leading cause of cancer death. ","In the whole world, liver cancer is ranked #6 on the list of cancers that most people have and #3 in the list of cancers that cause people to die.   ",Liver,NCI,Prevention
"In the United States, rates are highest in American Indian or Alaska Native individuals. ","In the United States, the people who get liver cancer the most are American Indian or Alaska Native people.",Liver,NCI,Prevention
Liver cancer is the sixth leading cause of cancer deaths in the United States.,Liver cancer is ranked #6 on the list of cancers that cause people to die in the United States.,Liver,NCI,Prevention
Liver cancer causes and risk factors,Liver cancer causes and risk factors,Liver,NCI,Prevention
"The most common type of liver cancer in adults, hepatocellular carcinoma (HCC), typically develops in people with chronic (long-lasting) liver disease caused by hepatitis virus infection or cirrhosis. ","Hepatocellular carcinoma (HCC) is the kind of liver cancer that most adults have.  Most of the time, it happens in people who have a bad liver caused by sickness that has been there a long time. ",Liver,NCI,Prevention
Men are more likely to develop HCC than women. ,Men usually have HCC more than women.,Liver,NCI,Prevention
People with multiple risk factors have an even higher risk. ,_______________________more of a chance of getting liver cancer.  These are called risk factors.  ,Liver,NCI,Prevention
Many risk factors have been associated with liver cancer. ,People with more than one risk factor have an even bigger chance. ,Liver,NCI,Prevention
"Not everyone with one or more of these risk factors will develop the disease, and the disease will develop in some people who don’t have any known risk factors. ","Not everybody with one or more of these risk factors will get liver cancer, and some people can get liver cancer and not have any risk factors. ",Liver,NCI,Prevention
"Risk factors include the following: >Hepatitis B virus (HBV) infection : HBV can be transmitted in blood, semen , or other body fluids. ",Some risk factors are: >Hepatitis B virus (HBV) infection : HBV is a virus that you can get from someone else’s blood or other liquids that come from their body. ,Liver,NCI,Prevention
"The infection can be passed from mother to child during childbirth, through sexual contact, or by sharing needles that are used to inject drugs. ","HBV can be passed from a mother to her baby when the mother is having the baby, or through having sex, or using the same needle as someone else.  ",Liver,NCI,Prevention
It can cause inflammation (swelling) of the liver that leads to cancer. ,It can cause problems with the liver that can turn into cancer.   ,Liver,NCI,Prevention
Routine HBV vaccination in infancy is reducing the incidence of HBV infection. ,Getting a shot for HBV when you are a baby can help keep you from getting HBV.   ,Liver,NCI,Prevention
Chronic HBV infection is the leading cause of liver cancer in Asia and Africa. ,HBV is the #1 reason that people get liver cancer in Asia and Africa. ,Liver,NCI,Prevention
>Hepatitis C virus (HCV) infection : HCV can be transmitted in the blood. ,>Hepatitis C virus (HCV) infection : You can get HCV from someone else’s blood. ,Liver,NCI,Prevention
"The infection can be spread by sharing needles that are used to inject drugs or, less often, through sexual contact. ",You can get HCV by using the same needle as someone else or sometimes from having sex.  ,Liver,NCI,Prevention
"In the past, it was also spread during blood transfusions or organ transplants . ",You used to have a chance of getting HCV by getting blood through a vein or during a kind of surgery called an organ transplant. ,Liver,NCI,Prevention
"Today, blood banks test all donated blood for HCV, which greatly lowers the risk of getting the virus from blood transfusions. ","Now, when a person gives blood, it is checked for HCV, and that means that there is less of a chance of someone getting the virus when they get blood through their vein.   ",Liver,NCI,Prevention
It can cause cirrhosis that may lead to liver cancer. ,HCV can cause a disease called cirrhosis that may cause liver cancer. ,Liver,NCI,Prevention
"Chronic HCV infection is the leading cause of liver cancer in North America, Europe, and Japan. ","HCV is the #1 reason that people get liver cancer in North America, Europe, and Japan. ",Liver,NCI,Prevention
">Cirrhosis : The risk of developing liver cancer is increased for people who have cirrhosis, a disease in which healthy liver tissue is replaced by scar tissue . ",">Cirrhosis : You have a bigger chance of getting liver cancer if you have cirrhosis, which is a disease where a healthy liver becomes unhealthy.  ",Liver,NCI,Prevention
The scar tissue blocks the flow of blood through the liver and keeps it from working as it should. ,"When the liver becomes unhealthy, blood cannot get to the liver and it stops working like it should.  ",Liver,NCI,Prevention
Chronic alcoholism and chronic hepatitis infections are common causes of cirrhosis. ,Drinking too much alcohol and having infections in your liver can be reasons for getting cirrhosis. ,Liver,NCI,Prevention
People with HCV-related cirrhosis have a higher risk of developing liver cancer than people with cirrhosis related to HBV or alcohol use. ,People with cirrhosis that is caused by HCV will have a bigger chance of getting liver cancer than people who have cirrhosis caused by alcohol or HBV.,Liver,NCI,Prevention
>Heavy alcohol use : ,>Drinking too much alcohol:  ,Liver,NCI,Prevention
"Heavy alcohol use can cause cirrhosis, which is a risk factor for liver cancer. ","Drinking too much alcohol can cause cirrhosis, which gives you a bigger chance of getting liver cancer.  ",Liver,NCI,Prevention
Liver cancer can also occur in heavy alcohol users who do not have cirrhosis. ,People who drink too much alcohol and do not have cirrhosis can still get liver cancer. ,Liver,NCI,Prevention
"Heavy alcohol users who have cirrhosis are ten times more likely to develop liver cancer, compared with heavy alcohol users who do not have cirrhosis. ",People who drink too much alcohol and have cirrhosis have a much bigger chance of getting liver cancer than people who drink too much and do not have cirrhosis. ,Liver,NCI,Prevention
Studies have shown there is also an increased risk of liver cancer in people with HBV or HCV infection who use alcohol heavily. ,Some people who study cancer believe that people with HBV or HCV who drink a lot of alcohol have a bigger chance of getting liver cancer.  ,Liver,NCI,Prevention
">Aflatoxin B1 : The risk of developing liver cancer may be increased by eating foods that contain aflatoxin B1 (poison from a fungus that can grow on foods, such as corn and nuts, that have been stored in hot, humid places). ",">Aflatoxin B1 : Eating foods that have aflatoxin B1 in them can give you a bigger chance of getting liver cancer.  Aflatoxin is poisonous and can grow on foods, corn and nuts, that have been kept in hot, steamy places.  ",Liver,NCI,Prevention
"It is most common in sub-Saharan Africa, Southeast Asia, and China. ","This happens most in sub-Saharan Africa, Southeast Asia, and China. ",Liver,NCI,Prevention
>Nonalcoholic steatohepatitis (NASH) : ,>Nonalcoholic steatohepatitis (NASH) : ,Liver,NCI,Prevention
NASH is a condition that can cause cirrhosis that may lead to liver cancer. ,NASH is a problem that can cause cirrhosis which can lead to liver cancer. ,Liver,NCI,Prevention
"It is the most severe form of nonalcoholic fatty liver disease, where there is an abnormal amount of fat in the liver. ","NASH is the worst kind of nonalcoholic (not caused by alcohol) fatty liver disease, where there is too much fat in the liver. ",Liver,NCI,Prevention
"In some people, this can cause inflammation and injury to the cells of the liver. ","In some people, this can hurt the liver.   ",Liver,NCI,Prevention
Having NASH-related cirrhosis increases the risk of developing liver cancer. ,People who have the NASH kind of cirrhosis have a bigger chance of getting liver cancer. ,Liver,NCI,Prevention
Liver cancer has also been found in people with NASH who do not have cirrhosis. ,People who have NASH who do not have cirrhosis can also get liver cancer. ,Liver,NCI,Prevention
>Cigarette smoking : Cigarette smoking has been linked to a higher risk of liver cancer. ,>Smoking Cigarettes can give you a bigger chance of getting liver cancer. ,Liver,NCI,Prevention
The risk increases with the number of cigarettes smoked per day and the number of years the person has smoked. ,It depends on the number of cigarettes that a person smokes each day and for how many years.  ,Liver,NCI,Prevention
>Other conditions : Certain rare medical and genetic conditions may increase the risk of liver cancer. ,>Some other problems can give you a bigger chance of getting liver cancer. ,Liver,NCI,Prevention
These conditions include the following:,These problems are:,Liver,NCI,Prevention
>untreated hereditary hemochromatosis ,>untreated hereditary hemochromatosis ,Liver,NCI,Prevention
>alpha-1 antitrypsin deficiency ,>alpha-1 antitrypsin deficiency ,Liver,NCI,Prevention
>glycogen storage disease ,>glycogen storage disease ,Liver,NCI,Prevention
>porphyria cutanea tarda ,>porphyria cutanea tarda ,Liver,NCI,Prevention
>Wilson disease,>Wilson disease,Liver,NCI,Prevention
Liver cancer prevention,Liver cancer prevention,Liver,NCI,Prevention
Cancer prevention is action taken to lower the chance of getting cancer. ,Cancer prevention = things that you can do to help keep you from getting cancer. ,Liver,NCI,Prevention
"By preventing cancer, the number of new cases of cancer in a group or population is lowered. ","By doing these things, the number of people who get cancer will be lower.   ",Liver,NCI,Prevention
"Hopefully, this will lower the number of deaths caused by cancer. ",The hope is that this will also lower the number of people who die from cancer. ,Liver,NCI,Prevention
Anything that increases your chance of getting cancer is called a risk factor. ,Anything that gives you a bigger chance of getting cancer is called a risk factor. ,Liver,NCI,Prevention
Anything that lowers your chance of getting cancer is called a cancer protective factor. ,Anything that gives you a smaller chance of getting cancer is called a protective factor. ,Liver,NCI,Prevention
Prevention includes avoiding risk factors and increasing protective factors. ,Part of Prevention is keeping away from risk factors and trying to do more protective factors. ,Liver,NCI,Prevention
The following are protective factors for liver cancer: >Getting the hepatitis B vaccine : ,These are protective factors to help keep you from getting liver cancer: >Get the hepatitis B vaccine: ,Liver,NCI,Prevention
Preventing HBV infection (by being vaccinated for HBV as a newborn) has been shown to lower the risk of liver cancer in children. ,Giving the HBV vaccine to babies can lower the chance of them getting liver cancer when they are a child.  ,Liver,NCI,Prevention
It is not yet known if being vaccinated lowers the risk of liver cancer in adults. ,But we do not know yet if that will lower the chance of them getting liver cancer when they are an adult.  ,Liver,NCI,Prevention
>Getting treatment for chronic hepatitis B infection : Treatment options for people with chronic HBV infection include interferon and nucleos(t)ide analog therapy. ,>Get treatment for chronic hepatitis B infection: Different kinds of treatment for people with chronic HBV infection are interferon and nucleos(t)ide analog therapy. ,Liver,NCI,Prevention
These treatments may reduce the risk of developing liver cancer. ,These treatments can help lower the chance of getting liver cancer. ,Liver,NCI,Prevention
>Reducing exposure to aflatoxin B1 : Replacing foods that contain high amounts of aflatoxin B1 with foods that contain a much lower level of the poison can reduce the risk of liver cancer.,">Make sure you don’t eat foods that have a lot of aflatoxin B1 in them.  Instead, eat foods with a much smaller about of the poison in them.  This can lower the chance of getting liver cancer.",Liver,NCI,Prevention
Pancreatic cancer is hard to find early. ,Pancreatic cancer is hard to find early. ,Pancreatic,ACS,Screening
"The pancreas is deep inside the body, so early tumors can’t be seen or felt by health care providers during routine physical exams. ",The pancreas is deep inside the body. Early tumors can’t be seen or felt by health care providers during routine physical exams. ,Pancreatic,ACS,Screening
People usually have no symptoms until the cancer has become very large or has already spread to other organs. ,People usually have no symptoms until the cancer has become very large or has spread to other organs. ,Pancreatic,ACS,Screening
"For certain types of cancer, screening tests or exams are used to look for cancer in people who have no symptoms (and who have not had that cancer before). ",There are screening tests or exams that are used to look for cancer in people who have no symptoms (and who have not had that cancer before). ,Pancreatic,ACS,Screening
"But for pancreatic cancer, no major professional groups currently recommend routine screening in people who are at average risk. ","But for pancreatic cancer, there are currently no recommended routine screening in people who are at average risk. ",Pancreatic,ACS,Screening
This is because no screening test has been shown to lower the risk of dying from this cancer.,This is because no screening test has been shown to lower the risk of dying from this cancer.,Pancreatic,ACS,Screening
Genetic testing for people who might be at increased risk,Genetic testing for people who might be at increased risk,Pancreatic,ACS,Screening
Some people might be at increased risk of pancreatic cancer because of a family history of the disease (or a family history of certain other cancers). ,Some people might be at increased risk of pancreatic cancer because of a family history of the disease (or a family history of certain other cancers). ,Pancreatic,ACS,Screening
Sometimes this increased risk is due to a specific genetic syndrome . ,Sometimes this increased risk is due to a specific genetic change. ,Pancreatic,ACS,Screening
Genetic testing looks for the gene changes that cause these inherited conditions and increase pancreatic cancer risk. ,Genetic testing looks for the gene changes that cause these inherited conditions and increase pancreatic cancer risk. ,Pancreatic,ACS,Screening
"The tests look for these inherited conditions, not pancreatic cancer itself. ","Your risk may be increased if you have one of these conditions, but it doesn’t mean that you have (or definitely will get) pancreatic cancer. ",Pancreatic,ACS,Screening
"Your risk may be increased if you have one of these conditions, but it doesn’t mean that you have (or definitely will get) pancreatic cancer. ","Knowing if you are at increased risk can help you and your doctor make decisions on screening. Screening before symptoms occur, when it might be easier to treat. ",Pancreatic,ACS,Screening
"Knowing if you are at increased risk can help you and your doctor decide if you should have tests to look for pancreatic cancer early, when it might be easier to treat. ",Determining whether you might be at increased risk is not a simple process. ,Pancreatic,ACS,Screening
"The American Cancer Society strongly recommends that anyone thinking about genetic testing talk with a genetic counselor, nurse, or doctor (qualified to interpret and explain the test results) before getting tested. ","The American Cancer Society has strong recommendations for anyone thinking about genetic testing. This includes talking with a genetic counselor, nurse, or doctor (qualified to interpret and explain the test results) before getting tested. ",Pancreatic,ACS,Screening
"It’s important to understand what the tests can − and can’t − tell you, and what any results might mean, before deciding to be tested.","It’s important to understand what the tests can − and can’t − tell you, and what any results might mean, before deciding to be tested.",Pancreatic,ACS,Screening
Testing for pancreatic cancer in people at high risk,Testing for pancreatic cancer in people at high risk,Pancreatic,ACS,Screening
"For people in families at high risk of pancreatic cancer, newer tests for detecting pancreatic cancer early may help. ","For people in families at high risk of pancreatic cancer, newer tests for detecting pancreatic cancer early may help. ",Pancreatic,ACS,Screening
The two most common tests used are an endoscopic ultrasound or MRI. ,The two most common tests used are an endoscopic ultrasound or MRI. ,Pancreatic,ACS,Screening
(See Tests for Pancreatic Cancer .) ,(See Tests for Pancreatic Cancer .) ,Pancreatic,ACS,Screening
"These tests are not used to screen the general public, but might be used for someone with a strong family history of pancreatic cancer or with a known genetic syndrome that increases their risk. ",These tests are not used to screen the general public. But might be used with a strong family history of pancreatic cancer or with a known genetic syndrome that increases their risk. ,Pancreatic,ACS,Screening
"Doctors have been able to find early, treatable pancreatic cancers in some members of high-risk families with these tests. ","Doctors have been able to find early, treatable pancreatic cancers in some members of high-risk families with these tests. ",Pancreatic,ACS,Screening
Doctors are also studying other new tests to try to find pancreatic cancer early. ,Doctors are also studying other new tests to try to find pancreatic cancer early. ,Pancreatic,ACS,Screening
(See What's New in Pancreatic Cancer Research? ) ,(See What's New in Pancreatic Cancer Research? ) ,Pancreatic,ACS,Screening
Interested families at high risk may wish to take part in studies of these new screening tests.,Interested families at high risk may wish to take part in studies (clinical trials) of these new screening tests.,Pancreatic,ACS,Screening
Screening is testing for diseases like cancer in people who do not have any symptoms. ,Screening is testing for diseases like cancer in people who do not have any symptoms. ,SmIntestine,ACS,Screening
"Screening tests can find some types of cancer early, when treatment is most likely to be effective. ",Screening tests can find some types of cancer early when treatment is most likely to be effective. ,SmIntestine,ACS,Screening
"But small intestine adenocarcinomas are rare, and no effective screening tests have been found for these cancers, so routine testing for people without any symptoms is not recommended.","Small intestine cancers are rare, and no effective screening tests have been found for these cancers. Routine testing for people without any symptoms is not recommended.",SmIntestine,ACS,Screening
For people at high risk,For people at high risk,SmIntestine,ACS,Screening
"﻿For people with certain inherited genetic syndromes who are at increased risk of small intestine cancer, doctors might recommend regular tests to look for cancer early, especially in the duodenum (the first part of the small intestine). ",﻿Some people with certain inherited genetic syndromes are at increased risk of small intestine cancer.  Doctors may recommend regular tests to look for this cancer before symptoms are present. Especially for disease in the duodenum (the first part of the small intestine). ,SmIntestine,ACS,Screening
"Tests that might be done include upper endoscopy (in which a long tube with a tiny video camera on the end is passed down the throat, through the stomach, and into the duodenum), CT scans, and endoscopic ultrasound (EUS). ","Tests that might be done include >upper endoscopy (in which a long tube with a tiny video camera on the end is passed down the throat, through the stomach, and into the duodenum). >CT scans. >endoscopic ultrasound (EUS). ",SmIntestine,ACS,Screening
See Tests for Small Intestine Cancer (Adenocarcinoma) to learn more about these tests.,See Tests for Small Intestine Cancer (Adenocarcinoma) to learn more about these tests.,SmIntestine,ACS,Screening
"Screening is testing for a disease, such as cancer, in people without symptoms. ","Screening is checking for disease, like cancer, in people who are not having any problems.",Stomach,ACS,Detection
"Some of the tests that can be used to screen for stomach cancer (also known as gastric cancer), such as upper endoscopy, are described in Tests for Stomach Cancer .","Some of the tests that doctors can use to screen people for stomach cancer (also known as gastric cancer), like upper endoscopy, are talked about in Tests for Stomach Cancer .",Stomach,ACS,Detection
Stomach cancer screening in people at average risk,Stomach cancer screening in people at average risk,Stomach,ACS,Detection
No major medical organizations in the United States recommend routine screening for stomach cancer in people at average risk. ,Most groups of doctors agree that you should not have routine screening for stomach cancer if you do not have problems that would give you a bigger chance of getting it.  ,Stomach,ACS,Detection
"This is largely because this disease isn’t common in the US, so the benefits of screening most likely would not outweigh the possible harms (such as needing additional tests or procedures, even in some people who might not end up having stomach cancer). ","This is mostly because this cancer does not happen very often in the US, so getting the screening tests would probably cause more bad than good.",Stomach,ACS,Detection
"Because routine screening for stomach cancer is not done in the United States, most people are not diagnosed with stomach cancer until they have certain signs and symptoms that point to the need for medical tests. ","Because routine screening for stomach cancer is not done in the United States, most people do not find out they have stomach cancer until they are having problems and need to have tests.   ",Stomach,ACS,Detection
"In some countries in East Asia and South America, where stomach cancer is much more common, mass screening of the population has helped find many stomach cancers at an early, possibly more curable stage. ","In some countries in East Asia and South America, where many more people have stomach cancer, it has been helpful to do more routine screening to find more stomach cancers when they are just starting and might be cured. ",Stomach,ACS,Detection
"However, it’s not clear if this has led to a lower number of stomach cancer deaths.","But, no one is sure if this will help lower the number of people who die from stomach cancer.",Stomach,ACS,Detection
Stomach cancer screening in people at increased risk,Stomach cancer screening in people at increased risk,Stomach,ACS,Detection
"The benefits of screening might outweigh the risks in some people who are at increased risk for stomach cancer because they have certain risk factors (for example, certain potentially pre-cancerous stomach conditions or inherited conditions such as Lynch syndrome or familial adenomatous polyposis [FAP]). ",It might be helpful to screen people who have risk factors that give them a bigger chance of getting stomach cancer.  Some of these factors are potentially pre-cancerous stomach conditions or inherited conditions such as Lynch syndrome or familial adenomatous polyposis [FAP]). ,Stomach,ACS,Detection
"For example, upper endoscopy might be recommended at regular intervals in these people. ",People with these risk factors might need to get endoscopies when their doctor says they should. ,Stomach,ACS,Detection
"If you have risk factors that might increase your risk of stomach cancer, talk to your doctor about the possible pros and cons of stomach cancer screening for you. ","If you have risk factors that might give you a bigger chance of getting stomach cancer, talk to your doctor to see if you need to have cancer screening.  ",Stomach,ACS,Detection
Screening isn't usually recommended for people in families with hereditary diffuse gastric cancer (HDGC). ,"Most of the time, doctors do not think that people in families with hereditary diffuse gastric cancer (HDGC) need to have screening tests.  ",Stomach,ACS,Detection
"Instead, doctors often recommend that people who have changes in the CDH1 gene that causes this syndrome consider having their stomach removed (total gastrectomy), because their risk of stomach cancer is very high.","But, a lot of the time, doctors want people who have changes in the CDH1 gene that causes this syndrome to think about having their stomach taken out (total gastrectomy), because their chance of getting stomach cancer is very big.",Stomach,ACS,Detection
"Stomach cancer is caused by certain changes to the way stomach cells function, especially how they grow and divide into new cells. ","Stomach cancer is caused by changes in stomach cells, mostly how they grow and split into new cells. ",Stomach,NCI,Prevention
"There are many risk factors for stomach cancer, but many do not directly cause cancer. ","There are a lot of risk factors for stomach cancer, but a lot of them do not actually cause cancer. ",Stomach,NCI,Prevention
"Instead, they increase the chance of DNA damage in cells that may lead to stomach cancer. ","But, they give you a bigger chance of having changes in your cells that can turn in to stomach cancer. ",Stomach,NCI,Prevention
"To learn more about how cancer develops, see What Is Cancer? . ","To learn more about how cancer develops, see What Is Cancer? . ",Stomach,NCI,Prevention
A risk factor is anything that increases the chance of getting a disease. ,A risk factor is anything that gives you a bigger chance of getting a disease (sickness). ,Stomach,NCI,Prevention
"Some risk factors for stomach cancer, like tobacco use, can be changed. ","Some risk factors for stomach cancer, like using tobacco, can be changed. ",Stomach,NCI,Prevention
"However, risk factors also include things people cannot change, like their age and family history . ","But, risk factors can also be things people cannot change, like their age and sicknesses in their family. ",Stomach,NCI,Prevention
Learning about risk factors for stomach cancer is important because it can help you make choices that might prevent or lower your risk of getting it.,Learning about risk factors for stomach cancer is important because it can help you make choices (or do things) that might keep you from or give you a smaller chance of getting it.,Stomach,NCI,Prevention
Who gets stomach cancer,Who gets stomach cancer,Stomach,NCI,Prevention
Stomach cancer is the fifth most common cancer worldwide. ,Stomach cancer is ranked #5 on the list of cancers that most people have.,Stomach,NCI,Prevention
"It is more common in countries in East Asia, Eastern Europe, and South and Central America than in the United States and other Western countries. ","It happens more in countries in East Asia, Eastern Europe, and South and Central America than in the United States and other Western countries. ",Stomach,NCI,Prevention
Anyone can get stomach cancer. ,Anybody can get stomach cancer. ,Stomach,NCI,Prevention
"In the United States, the disease occurs more often among Black, Hispanic, Asian/Pacific Islander, and American Indian/Alaska Native individuals than among White individuals. ","In the United States, the disease happens more in Black, Hispanic, Asian/Pacific Islander, and American Indian/Alaska Native people than in White people. ",Stomach,NCI,Prevention
"Males are nearly twice as likely as females to be diagnosed with stomach cancer, and Black males are nearly twice as likely as White males to die of it. ",Men get it more than women and Black men get it more than White men.   ,Stomach,NCI,Prevention
"In recent years, stomach cancer rates have been increasing in younger females, particularly among Hispanic females. ","In these past few years, the number of people who are getting stomach cancer has grown in younger women, mostly Hispanic women.  ",Stomach,NCI,Prevention
"Stomach cancer can be diagnosed at any age, but the risk increases as a person gets older.","You can get stomach cancer at any age, but your chances of getting it gets bigger as you get older.",Stomach,NCI,Prevention
Risk factors for stomach cancer,Risk factors for stomach cancer,Stomach,NCI,Prevention
There are several risk factors for stomach cancer. ,There are some risk factors for stomach cancer. ,Stomach,NCI,Prevention
Different risk factors may increase the risk of cancer in different parts of the stomach. ,Some risk factors can give you more of a chance of cancer in different parts of the stomach.  ,Stomach,NCI,Prevention
"For example, Helicobacter pylori (H. pylori) infection increases the risk of cancer in the lower and middle part of the stomach, while obesity and gastroesophageal reflux disease (GERD) increase the risk of cancer in the upper stomach.","Like, Helicobacter pylori (H. pylori) infection gives you more of a chance of getting cancer in the bottom and middle part of the stomach, and being too big and having gastroesophageal reflux disease (GERD) gives you more of a chance in upper stomach.",Stomach,NCI,Prevention
H. pylori infection,H. pylori infection,Stomach,NCI,Prevention
Chronic infection of the mucosal layer of the stomach with H. pylori is a major risk factor for stomach cancer. ,H. pylori infection in the wall of the stomach that does not get better is a big risk factor for stomach cancer. ,Stomach,NCI,Prevention
"This bacterium spreads from person to person through direct contact with saliva, vomit, or stool. ","You can get this infection from someone who has the infection by touching their spit, throw-up or poop. ",Stomach,NCI,Prevention
"Although many people with chronic H. pylori infections do not have symptoms, some develop stomach ulcers or an inflammation of the stomach called atrophic gastritis. ","Many people who have had H. pylori infection for a long time do not have problems, but some get stomach ulcers or a swollen stomach called atrophic gastritis. ",Stomach,NCI,Prevention
"In some people, atrophic gastritis leads to increasingly severe changes in the stomach lining and eventually to stomach cancer or gastric MALT lymphoma (see What Is Stomach Cancer? ). ","In some people, atrophic gastritis can cause big changes in the wall of the stomach and can later turn into stomach cancer or gastric MALT lymphoma.   ",Stomach,NCI,Prevention
Treatment of H. pylori infections reduces the risk of these types of stomach cancer.,Getting treatment for H. pylori infections gives you a small chance of getting one of these types of stomach cancer.,Stomach,NCI,Prevention
Other medical conditions,Other medical conditions,Stomach,NCI,Prevention
The risk of stomach cancer is increased in people who have ,The chance of getting stomach cancer is bigger in people who have ,Stomach,NCI,Prevention
>chronic atrophic gastritis (thinning of the stomach lining caused by long-term inflammation of the stomach) ,>chronic atrophic gastritis (change in the wall of the stomach caused by swelling of the stomach that has been there a long time),Stomach,NCI,Prevention
>atrophic gastritis with intestinal metaplasia (a condition in which the cells that line the stomach are replaced by cells that normally line the intestines) ,>atrophic gastritis with intestinal metaplasia (when the cells that are in the wall of the stomach are switched out by cells that are normally in the wall of the intestines)  ,Stomach,NCI,Prevention
>Epstein-Barr virus infection ,>Epstein-Barr virus infection ,Stomach,NCI,Prevention
">pernicious anemia (an autoimmune condition in which the intestines can’t properly absorb vitamin B12 , resulting in a low red blood cell count) ",>pernicious anemia (a disease where the intestines can’t take in vitamin B12 like they should which causes a low red blood cell count) ,Stomach,NCI,Prevention
>obesity (excess body weight) ,>obesity (weighing too much or being too big) ,Stomach,NCI,Prevention
>gastroesophageal reflux disease (a condition in which stomach acid repeatedly flows back into the esophagus),>gastroesophageal reflux disease (when the acid in the stomach keeps going back up into the esophagus).,Stomach,NCI,Prevention
Genetics and family history,Genetics and family history,Stomach,NCI,Prevention
"The risk of stomach cancer is increased, sometimes to very high levels, in people who have ",The chance of getting stomach cancer can be higher or very high in people who have ,Stomach,NCI,Prevention
">a first-degree relative (parent, sibling, or child) who has had stomach cancer ",">a first-degree relative (mom/dad, brother/sister, or son/daughter) who has had stomach cancer.",Stomach,NCI,Prevention
